BA.Target,Plot,Pre.Harvest,Defective.Rem,Sound.Rem,Total.Rem,Residual
10,1,24,2.7,10,12.7,11.3
10,5,41.3,6.7,23,29.7,11.6
10,7,32,6.7,13.3,20,12
10,13,26.7,10.7,7.6,18.3,8.4
10,14,24,5.3,5.3,10.6,13.4
10,19,36,10.7,14.3,25,11
10,24,28,12,4.1,16.1,11.9
10,25,45.3,8,23.7,31.7,13.6
10,27,32,10.7,10,20.7,11.3
10,28,24,6.7,7.6,14.3,9.7
20,2,33.3,8,2.7,10.7,22.6
20,4,30.6,7.9,2.7,10.6,20
20,8,26.7,6.7,4.3,11,15.7
20,11,32,10.7,2.7,13.4,18.6
20,12,50.7,17.4,14.7,32.1,18.6
20,18,45.3,15.6,11.7,27.3,18
20,21,41.3,13.3,10.7,24,17.3
20,26,29.3,5.3,0,5.3,24
20,29,42.7,6.7,12.1,18.8,23.9
20,30,22.7,1.4,4.1,5.5,17.2
Control,3,37.3,0,0,0,37.3
Control,6,28,0,0,0,28
Control,9,29.3,0,0,0,29.3
Control,10,22.7,0,0,0,22.7
Control,16,38.7,0,0,0,38.7
Control,17,38.7,0,0,0,38.7
Control,20,30.6,0,0,0,30.6
Control,22,42.7,0,0,0,42.7
Control,23,54.7,0,0,0,54.7
Control,31,40,0,0,0,40
20,15,,,,,
