"Plot","TreeID","Species","Sector","Year","Status","DBH","Height","Comments","Conk","BlindConk","Scar","Fork.Crook","Frost.Crack","Mistletoe","R.Branch","DBT","Crown.Class","L.Crown"
"3","279","Sx","1","1992","Live",43.5,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"3","279","Sx","1","1994","Live",43.3,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"3","279","Sx","1","1997","Live",43.2,27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"3","279","Sx","1","2009","Live",43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"3","279","Sx","1","2019","Dead",43.5,NA,"Grey, died 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"3","294","Bl","2","1992","Live",20.5,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,4
"3","294","Bl","2","1994","Live",20.3,NA,"Scar is old",NA,NA,1,NA,1,NA,NA,NA,NA,4
"3","294","Bl","2","1997","Live",20.9,NA,"old catface",NA,NA,1,NA,1,NA,NA,NA,NA,4
"3","294","Bl","2","2009","Live",22,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,4
"3","294","Bl","2","2019","Live",23.2,19.6,"1997 DBH wrong; 2019: 23.5cm",NA,NA,1,NA,1,NA,NA,NA,NA,4
"3","441","Bl","3","1992","Live",10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"3","441","Bl","3","1994","Live",9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"3","441","Bl","3","1997","Live",9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"3","441","Bl","3","2009","Live",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"3","441","Bl","3","2019","Live",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"3","457","Sx","3","1992","Live",41,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"3","457","Sx","3","1994","Live",41.2,26.8,"Originally marked as Bl",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"3","457","Sx","3","1997","Live",41.4,26.3,"scarred by windthrow Bl",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"3","457","Sx","3","2009","Live",42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"3","457","Sx","3","2019","Dead",41.7,NA,"grey dead 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"3","459","Sx","3","1992","Live",34.9,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"3","459","Sx","3","1994","Live",34.7,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"3","459","Sx","3","1997","Live",35,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"3","459","Sx","3","2009","Live",35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"3","459","Sx","3","2019","Dead",34.3,NA,"grey dead 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"5","11","Bl","4","1992","Live",15.1,NA,"natural",NA,NA,1,NA,NA,NA,NA,NA,NA,8
"5","11","Bl","4","1994","Live",8.6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8
"5","11","Bl","4","1997","Live",9.4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8
"5","11","Bl","4","2009","Live",13,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8
"5","11","Bl","4","2019","Live",15.3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8
"6","322","Bl","1","1992","Live",38.5,18.3,NA,NA,NA,NA,1,NA,NA,NA,NA,2,8
"6","322","Bl","1","1994","Live",35,19.4,"DBH smaller (Double checked)",NA,NA,NA,1,NA,NA,NA,NA,2,8
"6","322","Bl","1","1997","Live",36.5,20.3,"dying, schoolmarm red foliage",NA,NA,NA,1,NA,NA,NA,NA,2,8
"6","322","Bl","1","2009","Live",41,NA,"Live",NA,NA,NA,1,NA,NA,NA,NA,2,8
"6","322","Bl","1","2019","Live",44.7,23.5,"live, forked",NA,NA,NA,1,NA,NA,NA,NA,2,8
"6","219","Bl","2","1992","Live",7.9,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6
"6","219","Bl","2","1994","Live",8.1,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6
"6","219","Bl","2","1997","Live",9.5,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6
"6","219","Bl","2","2009","Live",9.2,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,6
"6","219","Bl","2","2019","Dead",9.2,NA,"dead/down 2019",NA,NA,NA,NA,NA,NA,NA,NA,4,6
"6","111","Bl","3","1992","Live",15,NA,NA,NA,NA,1,2,NA,NA,NA,NA,3,2
"6","111","Bl","3","1994","Live",15,NA,NA,NA,NA,1,2,NA,NA,NA,NA,3,2
"6","111","Bl","3","1997","Live",14.8,NA,"Dbh 1.0m",NA,NA,1,2,NA,NA,NA,NA,3,2
"6","111","Bl","3","2009","Dead",14.8,NA,"Standing dead",NA,NA,1,2,NA,NA,NA,NA,3,2
"6","111","Bl","3","2019","Live",NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,3,2
"6","332","Bl","3","1992","Live",21.3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,6
"6","332","Bl","3","1994","Live",21.1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,6
"6","332","Bl","3","1997","Live",22,NA,"broken top, catface",NA,NA,NA,1,NA,NA,NA,NA,2,6
"6","332","Bl","3","2009","Live",24.9,NA,"Live with no broken top or catface",NA,NA,NA,1,NA,NA,NA,NA,2,6
"6","332","Bl","3","2019","Live",26.3,15.6,NA,NA,NA,NA,1,NA,NA,NA,NA,2,6
"6","120","Bl","4","1992","Live",26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5
"6","120","Bl","4","1994","Live",25.6,NA,"DBH smaller (double checked)",NA,NA,NA,NA,NA,NA,NA,NA,2,5
"6","120","Bl","4","1997","Live",26.4,NA,"Dbh 1.0m",NA,NA,NA,NA,NA,NA,NA,NA,2,5
"6","120","Bl","4","2009","Live",28.5,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,2,5
