"Plot","TreeID","Species","Sector","Year","Status","DBH","Height","Comments","Conk","BlindConk","Scar","Fork.Crook","Frost.Crack","Mistletoe","R.Branch","DBT","Crown.Class","L.Crown"
"10","320","Sx","1","1992","Live",34.1,,,,,,,,,,,2,6
"10","320","Sx","1","1994","Live",34.2,,,,,,,,,,,2,6
"10","320","Sx","1","1997","Live",35.3,,,,,,,,,,,2,6
"10","320","Sx","1","2009","Live",38.5,,"Live",,,,,,,,,2,6
"10","320","Sx","1","2019","Live",41.9,27.5,,,,,,,,,,2,6
"10","321","Sx","2","1997","Live",7.8,6,,,,,,,,,,4,8
"10","321","Sx","2","2009","Live",11.3,,"Live",,,,,,,,,4,8
"10","321","Sx","2","2019","Live",14.8,,,,,,,,,,,4,8
"10","322","Bl","1","1992","Live",22,,,,,,,,,,,2,9
"10","322","Bl","1","1994","Live",23.1,,,,,,,,,,,2,9
"10","322","Bl","1","1997","Live",24.1,,"scar at base",,,,,,,,,2,9
"10","322","Bl","1","2009","Live",27.4,,"Live",,,,,,,,,2,9
"10","322","Bl","1","2019","Live",30.4,19.8,,,,,,,,,,2,9
"10","323","Sx","2","2009","Live",8,,"Live",,,,3,,,,,4,8
"10","323","Sx","2","2019","Live",10.8,10.2,,,,,3,,,,,4,8
"10","324","Bl","2","1992","Live",11,,,,,,,,,,2,3,7
"10","324","Bl","2","1994","Live",11.5,,,,,,,,,,2,3,7
"10","324","Bl","2","1997","Live",12,,,,,,,,,,2,3,7
"10","324","Bl","2","2009","Live",13.4,,"Live with snapped top",,,,,,,,2,3,7
"10","324","Bl","2","2019","Live",14,,,,,,,,,,2,3,7
"10","325","Bl","1","1992","Live",19.7,,,,,,,,,,,2,8
"10","325","Bl","1","1994","Live",20.5,,,,,,,,,,,2,8
"10","325","Bl","1","1997","Live",21.7,,,,,,,,,,,2,8
"10","325","Bl","1","2009","Live",26.3,,"Live",,,,,,,,,2,8
"10","325","Bl","1","2019","Live",30.4,22.9,,,,,,,,,,2,8
"10","372","Bl","4","1992","Live",12.4,,,,,,,,,,,3,9
"10","372","Bl","4","1994","Live",13,,,,,,,,,,,3,9
"10","372","Bl","4","1997","Live",13.5,,"Dbh at 1.1m",,,,,,,,,3,9
"10","372","Bl","4","2009","Live",16,,"Live",,,,,,,,,3,9
"10","372","Bl","4","2019","Dead",18.7,,"dead snag",,,,,,,,,3,9
"10","373","Bl","2","1992","Live",13.9,,,,,,,,,,,3,6
"10","373","Bl","2","1994","Live",14.4,,,,,,,,,,,3,6
"10","373","Bl","2","1997","Live",15.1,,,,,,,,,,,3,6
"10","373","Bl","2","2009","Live",17.7,,"Live",,,,,,,,,3,6
"10","373","Bl","2","2019","Live",20,17.9,,,,,,,,,,3,6
"10","375","Bl","3","1992","Live",17.2,14.7,,,,,,,,,,2,7
"10","375","Bl","3","1994","Live",17.9,15.6,,,,,,,,,,2,7
"10","375","Bl","3","1997","Live",18.9,16.2,"Dbh at 1.0m",,,,,,,,,2,7
"10","375","Bl","3","2009","Live",21.6,,"Live",,,,,,,,,2,7
"10","375","Bl","3","2019","Live",33.2,16.5,,,,,,,,,,2,7
"10","377","Bl","3","1992","Live",20.1,,,,,,1,,,,,2,6
"10","377","Bl","3","1994","Live",20.6,,,,,,1,,,,,2,6
"10","377","Bl","3","1997","Live",21.2,,"Dbh at 1.1m",,,,1,,,,,2,6
"10","377","Bl","3","2009","Live",23.5,,"Live",,,,1,,,,,2,6
"10","377","Bl","3","2019","Live",25.3,,,,,,1,,,,,2,6
"10","381","Sx","4","1992","Live",13,9.4,,,,,,,,,,3,8
"10","381","Sx","4","1994","Live",13.4,10.2,,,,,,,,,,3,8
"10","381","Sx","4","1997","Live",14.3,10.7,,,,,,,,,,3,8
"10","381","Sx","4","2009","Live",17.4,,"Live",,,,,,,,,3,8
"10","381","Sx","4","2019","Live",20.1,13.3,,,,,,,,,,3,8
"10","387","Bl","3","1992","Live",20.7,18.6,,,,,,,,,,2,6
"10","387","Bl","3","1994","Live",25.3,19.6,,,,,,,,,,2,6
"10","387","Bl","3","1997","Live",26.3,20.5,,,,,,,,,,2,6
"10","387","Bl","3","2009","Live",29.2,,"Live",,,,,,,,,2,6
"10","387","Bl","3","2019","Live",30.4,23.1,,,,,,,,,,2,6
"10","394","Sx","1","1992","Live",39.8,28.6,,,,,2,,,,,2,6
"10","394","Sx","1","1994","Live",39.9,28.5,,,,,2,,,,,2,6
"10","394","Sx","1","1997","Live",40.9,28.5,,,,,2,,,,,2,6
"10","394","Sx","1","2009","Live",43.6,,"Live",,,,2,,,,,2,6
"10","394","Sx","1","2019","Live",44.8,30.3,,,,,2,,,,,2,6
"10","395","Bl","1","1992","Live",21.4,,,,,,,,,,,2,7
"10","395","Bl","1","1994","Live",21.9,,"Marked with ""S""; Looks like 956, which is marked to cut; bent top- not sample; not recorded; DBH=21.5; ht=19.7) )",,,,,,,,,2,7
"10","395","Bl","1","1997","Live",22.4,,"top not bent, looks good",,,,,,,,,2,7
"10","395","Bl","1","2009","Live",25,,"Live",,,,,,,,,2,7
"10","395","Bl","1","2019","Live",27,24,,,,,,,,,,2,7
"10","40","Bl","2","2009","Live",8.1,,"Live",,,,,,,,,,
"10","40","Bl","2","2019","Live",9.7,,,,,,,,,,,,
"10","406","Bl","1","1992","Live",10.2,8.5,,,,,,,,,,3,9
"10","406","Bl","1","1994","Live",11.1,9.2,,,,,,,,,,3,9
"10","406","Bl","1","1997","Live",12.1,9.7,,,,,,,,,,3,9
"10","406","Bl","1","2009","Live",15,,"LIve",,,,,,,,,3,9
"10","406","Bl","1","2019","Live",17.7,8.4,,,,,,,,,,3,9
"10","407","Bl","1","1992","Live",16.6,,,,,,,,,,,3,8
"10","407","Bl","1","1994","Live",17,,"Cankers",,,,,,,,,3,8
"10","407","Bl","1","1997","Live",17.7,,"Canker at base",,,,,,,,,3,8
"10","407","Bl","1","2009","Live",20.3,,"Live",,,,,,,,,3,8
"10","407","Bl","1","2019","Live",21.7,18.6,,,,,,,,,,3,8
"10","408","Sx","2","2019","Live",9,,,,,,,,,,,4,8
"10","409","Sx","2","1992","Live",42.6,26,,,,,,,,,,3,7
"10","409","Sx","2","1994","Live",43.7,26.9,,,,,,,,,,3,7
"10","409","Sx","2","1997","Live",45.8,27.3,,,,,,,,,,3,7
"10","409","Sx","2","2009","Live",50.8,,"Live",,,,,,,,,3,7
"10","409","Sx","2","2019","Dead",48.4,27.9,,,,,,,,,,3,7
"10","410","Bl","2","1992","Live",14.7,,,,,,,1,,,,3,9
"10","410","Bl","2","1994","Live",16.4,,,,,,,1,,,,3,9
"10","410","Bl","2","1997","Live",16.6,,"Dbh at 1.1m",,,,,1,,,,3,9
"10","410","Bl","2","2009","Live",19.1,,"Live",,,,,1,,,,3,9
"10","410","Bl","2","2019","Live",21.1,15.5,,,,,,1,,,,3,9
"10","411","Bl","3","1994","Live",7.9,5.57,,,,,,,,,,4,8
"10","411","Bl","3","1997","Live",9,6.4,,,,,,,,,,4,8
"10","411","Bl","3","2009","Live",13.5,,"Live",,,,,,,,,4,8
"10","411","Bl","3","2019","Live",17.8,,,,,,,,,,,4,8
"10","412","Bl","4","1992","Live",8.9,,,,,,,,,,,4,8
"10","412","Bl","4","1994","Live",10,,,,,,,,,,,4,8
"10","412","Bl","4","1997","Live",10.9,,"DBh at 1.1m",,,,,,,,,4,8
"10","412","Bl","4","2009","Live",13.5,,"Live",,,,,,,,,4,8
"10","412","Bl","4","2019","Live",17.5,,,,,,,,,,,4,8
"10","413","Bl","4","1992","Live",17.9,,"Natural",,,,,,,,,2,7
"10","413","Bl","4","1994","Live",18.9,,,,,,,,,,,2,7
"10","413","Bl","4","1997","Live",20.5,,,,,,,,,,,2,7
"10","413","Bl","4","2009","Live",24.8,,"Live",,,,,,,,,2,7
"10","413","Bl","4","2019","Live",28.5,21.6,,,,,,,,,,2,7
"10","42","Bl","2","2019","Dead",8.3,,"dead",,,,,,,,,,
"10","43","Sx","2","2019","Live",10,10.9,,,,,,,,,,,
"10","46","Sx","2","2019","Live",8,,,,,,,,,,,,
"10","48","Bl","2","2009","Live",8.6,,"Live",,,,,,,,,,
"10","48","Bl","2","2019","Live",11.4,,,,,,,,,,,,
"10","49","Sx","2","2019","Live",7.7,,,,,,,,,,,,
"10","50","Bl","2","2009","Live",8.4,,"Live",,,,,,,,,,
"10","50","Bl","2","2019","Live",12,11.5,,,,,,,,,,,
"10","51","Sx","2","2009","Live",7.6,,"Live",,,,,,,,,,
"10","51","Sx","2","2019","Live",11.1,,,,,,,,,,,,
"10","52","Bl","3","2019","Live",7.6,,,,,,,,,,,,
"10","54","Bl","3","2019","Live",9.8,8.1,"found; painted 628 on tree (not actually #628)",,,,,,,,,4,
"10","602","Bl","3","2009","Live",7.8,,"Live",,,,,,,,,4,5
"10","602","Bl","3","2019","Live",11.2,,,,,,,,,,,4,5
"10","605","Bl","3","1992","Live",12.9,,,,,1,,,,,3,3,5
"10","605","Bl","3","1994","Live",12.9,,,,,1,,,,,3,3,5
"10","605","Bl","3","1997","Live",13.2,,"broken top, no limbs on north side",,,1,,,,,3,3,5
"10","605","Bl","3","2009","Live",13.3,,"Live with snapped top",,,1,,,,,3,3,5
"10","605","Bl","3","2019","Live",13.3,,,,,1,,,,,3,3,5
"10","607","Bl","3","1992","Live",10.4,,,,,,1,,,,,3,5
"10","607","Bl","3","1994","Live",10.9,,,,,,1,,,,,3,5
"10","607","Bl","3","1997","Live",11.5,,,,,,1,,,,,3,5
"10","607","Bl","3","2009","Live",14,,"Live",,,,1,,,,,3,5
"10","607","Bl","3","2019","Live",16.4,,,,,,1,,,,,3,5
"10","610","Bl","3","1992","Live",8.5,,,,,,,,,,,4,5
"10","610","Bl","3","1994","Live",8.8,,,,,,,,,,,4,5
"10","610","Bl","3","1997","Live",9.1,,,,,,,,,,,4,5
"10","610","Bl","3","2009","Live",9.5,,"Live",,,,,,,,,4,5
"10","610","Bl","3","2019","Live",10.2,,,,,,,,,,,4,5
"10","611","Bl","3","1992","Live",12.8,,,,,,,,,,,3,6
"10","611","Bl","3","1994","Live",13.2,,,,,,,,,,,3,6
"10","611","Bl","3","1997","Live",13.7,,,,,,,,,,,3,6
"10","611","Bl","3","2009","Live",15.1,,"Live",,,,,,,,,3,6
"10","611","Bl","3","2019","Live",15.8,,,,,,,,,,,3,6
"10","613","Bl","3","1992","Live",7.9,,,,,,,,,,,4,5
"10","613","Bl","3","1994","Live",8,,,,,,,,,,,4,5
"10","613","Bl","3","1997","Live",8.4,,,,,,,,,,,4,5
"10","613","Bl","3","2009","Live",10.4,,"Live",,,,,,,,,4,5
"10","613","Bl","3","2019","Live",12,9.6,,,,,,,,,,4,5
"10","617","Bl","3","1992","Live",26.7,,"LS",,,1,,,,,,2,7
"10","617","Bl","3","1994","Live",27.1,,,,,1,,,,,,2,7
"10","617","Bl","3","1997","Live",27.8,,,,,1,,,,,,2,7
"10","617","Bl","3","2009","Live",29.7,,"Live",,,1,,,,,,2,7
"10","617","Bl","3","2019","Live",31.5,25.6,"scar in 1",,,1,,,,,,2,7
"10","620","Bl","3","2019","Live",8.6,5.3,,,,,,,,,,4,6
"10","621","Bl","3","2009","Live",8.6,,"Live",,,,,,,,,4,5
"10","621","Bl","3","2019","Live",10.5,,,,,,,,,,,4,5
"10","624","Bl","4","2009","Live",8.3,,"Live",,,,,,,,,4,9
"10","624","Bl","4","2019","Live",8.7,,,,,,,,,,,4,9
"10","626","Sx","4","1992","Live",38.8,,,,,,,,,,,2,7
"10","626","Sx","4","1994","Live",39.5,,,,,,,,,,,2,7
