"FID_","LAT","LON","NAME","AUX1","AUX2","AUX3","LONGNAME","DATETIME_"
,"+6020551.166","+522106.3136","P-10","30-DEC-99 00:00:00"," ","2396","08-MAY-09 2:21:46PM","0.0000000"
,"+6020437.093","+521985.9094","P-11","30-DEC-99 00:00:00"," ","2379","08-MAY-09 2:37:21PM","0.0000000"
,"+6020324.074","+521852.4880","P-12","30-DEC-99 00:00:00"," ","2423","08-MAY-09 2:55:40PM","0.0000000"
,"+6020722.685","+522140.6004","P-13","30-DEC-99 00:00:00"," ","2385","13-MAY-09 2:28:55PM","0.0000000"
,"+6020850.101","+522258.3275","P-14","30-DEC-99 00:00:00"," ","2357","13-MAY-09 3:04:24PM","0.0000000"
,"+6021052.672","+522270.9985","P-15","30-DEC-99 00:00:00"," ","2365","11-MAY-09 11:17:36AM","0.0000000"
,"+6020830.431","+522102.3665","P-16","30-DEC-99 00:00:00"," ","2448","11-MAY-09 10:53:28AM","0.0000000"
,"+6020692.946","+521972.3280","P-17","30-DEC-99 00:00:00"," ","2428","11-MAY-09 10:42:44AM","0.0000000"
,"+6020553.208","+521835.7897","P-18","30-DEC-99 00:00:00"," ","2408","11-MAY-09 10:23:48AM","0.0000000"
,"+6020480.427","+521739.8941","P-19","30-DEC-99 00:00:00"," ","2386","11-MAY-09 10:15:37AM","0.0000000"
,"+6020592.680","+521712.7010","P-20","30-DEC-99 00:00:00"," ","2401","11-MAY-09 12:51:26PM","0.0000000"
,"+6020726.807","+521840.1651","P-21","30-DEC-99 00:00:00"," ","2427","11-MAY-09 12:39:28PM","0.0000000"
,"+6020858.757","+521976.7353","P-22","30-DEC-99 00:00:00"," ","2438","11-MAY-09 12:20:58PM","0.0000000"
,"+6020994.052","+522113.9319","P-23","30-DEC-99 00:00:00"," ","2449","11-MAY-09 11:54:41AM","0.0000000"
,"+6021113.600","+522215.4359","P-24","30-DEC-99 00:00:00"," ","2084","11-MAY-09 11:39:22AM","0.0000000"
,"+6020996.736","+521978.0247","P-25","30-DEC-99 00:00:00"," ","2446","11-MAY-09 1:36:13PM","0.0000000"
,"+6020886.064","+521869.9672","P-26","30-DEC-99 00:00:00"," ","2418","11-MAY-09 1:21:39PM","0.0000000"
,"+6020754.213","+521753.5519","P-27","30-DEC-99 00:00:00"," ","2382","11-MAY-09 1:07:59PM","0.0000000"
,"+6020857.324","+521675.6853","P-28","30-DEC-99 00:00:00"," ","2368","11-MAY-09 2:12:32PM","0.0000000"
,"+6021006.014","+521823.8804","P-29","30-DEC-99 00:00:00"," ","2463","11-MAY-09 2:02:50PM","0.0000000"
,"+6020314.373","+522149.7251","P-3","30-DEC-99 00:00:00"," ","2378","12-MAY-09 11:21:23AM","0.0000000"
,"+6021126.871","+521967.6480","P-30","30-DEC-99 00:00:00"," ","2448","11-MAY-09 1:44:50PM","0.0000000"
,"+6020168.032","+522029.4706","P-4","30-DEC-99 00:00:00"," ","2371","08-MAY-09 12:39:35PM","0.0000000"
,"+6020183.882","+521853.8063","P-5","30-DEC-99 00:00:00"," ","2433","08-MAY-09 1:22:55PM","0.0000000"
,"+6020324.767","+521997.5031","P-6","30-DEC-99 00:00:00"," ","2426","08-MAY-09 1:38:12PM","0.0000000"
,"+6020472.383","+522151.5631","P-7","30-DEC-99 00:00:00"," ","2424","08-MAY-09 2:01:16PM","0.0000000"
,"+6020578.539","+522244.6894","P-8","30-DEC-99 00:00:00"," ","2369","12-MAY-09 12:32:58PM","0.0000000"
,"+6020697.625","+522250.6143","P-9","30-DEC-99 00:00:00"," ","2341","12-MAY-09 1:46:04PM","0.0000000"
,"+6020439.545","+522263.5718","Ref-2","30-DEC-99 00:00:00"," ","2344","12-MAY-09 2:50:36PM","0.0000000"
,"+6020972.506","+522260.3342","Ref-A","30-DEC-99 00:00:00"," ","2366","11-MAY-09 11:11:19AM","0.0000000"
